,index,id,isResult,datetime,result,season,team_h,team_a,goals_h,goals_a,xG_h,xG_a,prob_h,prob_d,prob_a
4906,15,14616,False,2021-01-16 15:30:00,,2020,Aston Villa,Everton,,,,,,,
5172,30,14744,False,2021-04-11 13:05:00,,2020,West Ham,Leicester,,,,,,,
5175,30,14742,False,2021-04-11 15:30:00,,2020,Tottenham,Manchester United,,,,,,,
5176,30,14741,False,2021-04-11 18:00:00,,2020,Sheffield United,Arsenal,,,,,,,
5178,30,14743,False,2021-04-12 17:00:00,,2020,West Bromwich Albion,Southampton,,,,,,,
5180,30,14735,False,2021-04-12 19:15:00,,2020,Brighton,Everton,,,,,,,
5182,31,14748,False,2021-04-16 19:00:00,,2020,Everton,Tottenham,,,,,,,
5184,31,14752,False,2021-04-17 11:30:00,,2020,Newcastle United,West Ham,,,,,,,
5187,31,14754,False,2021-04-17 14:00:00,,2020,Wolverhampton Wanderers,Sheffield United,,,,,,,
5188,31,14753,False,2021-04-17 14:00:00,,2020,Southampton,Crystal Palace,,,,,,,
5190,31,14745,False,2021-04-18 12:30:00,,2020,Arsenal,Fulham,,,,,,,
5192,31,14751,False,2021-04-18 15:00:00,,2020,Manchester United,Burnley,,,,,,,
5195,31,14749,False,2021-04-19 19:00:00,,2020,Leeds,Liverpool,,,,,,,
5197,31,14747,False,2021-04-20 19:00:00,,2020,Chelsea,Brighton,,,,,,,
5198,32,14722,False,2021-04-21 19:00:00,,2020,Tottenham,Southampton,,,,,,,
5201,31,14746,False,2021-04-21 19:15:00,,2020,Aston Villa,Manchester City,,,,,,,
5203,31,14750,False,2021-04-22 19:00:00,,2020,Leicester,West Bromwich Albion,,,,,,,
5204,32,14755,False,2021-04-23 19:00:00,,2020,Arsenal,Everton,,,,,,,
5206,32,14760,False,2021-04-24 11:30:00,,2020,Liverpool,Newcastle United,,,,,,,
5209,32,14763,False,2021-04-24 16:30:00,,2020,West Ham,Chelsea,,,,,,,
5211,32,14762,False,2021-04-24 19:00:00,,2020,Sheffield United,Brighton,,,,,,,
5213,32,14764,False,2021-04-25 11:00:00,,2020,Wolverhampton Wanderers,Burnley,,,,,,,
5214,32,14758,False,2021-04-25 13:00:00,,2020,Leeds,Manchester United,,,,,,,
5217,32,14756,False,2021-04-25 18:00:00,,2020,Aston Villa,West Bromwich Albion,,,,,,,
5218,32,14759,False,2021-04-26 19:00:00,,2020,Leicester,Crystal Palace,,,,,,,
5223,33,14774,False,2021-04-30 16:00:00,,2020,West Bromwich Albion,Wolverhampton Wanderers,,,,,,,
5224,33,14769,False,2021-04-30 16:00:00,,2020,Everton,Aston Villa,,,,,,,
5225,33,14766,False,2021-04-30 16:00:00,,2020,Burnley,West Ham,,,,,,,
5229,33,14765,False,2021-04-30 16:00:00,,2020,Brighton,Leeds,,,,,,,
5230,33,14772,False,2021-04-30 16:00:00,,2020,Southampton,Leicester,,,,,,,
5231,33,14773,False,2021-04-30 16:00:00,,2020,Tottenham,Sheffield United,,,,,,,
5233,33,14771,False,2021-04-30 16:00:00,,2020,Newcastle United,Arsenal,,,,,,,
5235,33,14768,False,2021-04-30 16:00:00,,2020,Crystal Palace,Manchester City,,,,,,,
5238,33,14767,False,2021-04-30 16:00:00,,2020,Chelsea,Fulham,,,,,,,
5239,33,14770,False,2021-04-30 16:00:00,,2020,Manchester United,Liverpool,,,,,,,
5240,34,14784,False,2021-05-07 16:00:00,,2020,Wolverhampton Wanderers,Brighton,,,,,,,
5241,34,14780,False,2021-05-07 16:00:00,,2020,Liverpool,Southampton,,,,,,,
5243,34,14782,False,2021-05-07 16:00:00,,2020,Sheffield United,Crystal Palace,,,,,,,
5246,34,14777,False,2021-05-07 16:00:00,,2020,Fulham,Burnley,,,,,,,
5247,34,14775,False,2021-05-07 16:00:00,,2020,Arsenal,West Bromwich Albion,,,,,,,
5249,34,14776,False,2021-05-07 16:00:00,,2020,Aston Villa,Manchester United,,,,,,,
5250,34,14783,False,2021-05-07 16:00:00,,2020,West Ham,Everton,,,,,,,
5251,34,14779,False,2021-05-07 16:00:00,,2020,Leicester,Newcastle United,,,,,,,
5252,34,14781,False,2021-05-07 16:00:00,,2020,Manchester City,Chelsea,,,,,,,
5255,34,14778,False,2021-05-07 16:00:00,,2020,Leeds,Tottenham,,,,,,,
5262,35,14786,False,2021-05-10 20:45:00,,2020,Burnley,Leeds,,,,,,,
5263,35,14787,False,2021-05-10 20:45:00,,2020,Everton,Sheffield United,,,,,,,
5265,35,14785,False,2021-05-10 20:45:00,,2020,Brighton,West Ham,,,,,,,
5268,35,14789,False,2021-05-10 21:00:00,,2020,West Bromwich Albion,Liverpool,,,,,,,
5269,35,14788,False,2021-05-10 21:00:00,,2020,Manchester United,Leicester,,,,,,,
5270,35,14791,False,2021-05-11 20:45:00,,2020,Newcastle United,Manchester City,,,,,,,
5273,35,14793,False,2021-05-11 20:45:00,,2020,Tottenham,Wolverhampton Wanderers,,,,,,,
5275,35,14792,False,2021-05-11 20:45:00,,2020,Southampton,Fulham,,,,,,,
5277,35,14790,False,2021-05-11 20:45:00,,2020,Chelsea,Arsenal,,,,,,,
5278,35,14794,False,2021-05-11 21:00:00,,2020,Crystal Palace,Aston Villa,,,,,,,
5281,36,14801,False,2021-05-14 16:00:00,,2020,Newcastle United,Sheffield United,,,,,,,
5283,36,14798,False,2021-05-14 16:00:00,,2020,Crystal Palace,Arsenal,,,,,,,
5285,36,14802,False,2021-05-14 16:00:00,,2020,Southampton,Leeds,,,,,,,
5289,36,14795,False,2021-05-14 16:00:00,,2020,Brighton,Manchester City,,,,,,,
5291,36,14799,False,2021-05-14 16:00:00,,2020,Everton,Wolverhampton Wanderers,,,,,,,
5292,36,14804,False,2021-05-14 16:00:00,,2020,West Bromwich Albion,West Ham,,,,,,,
5293,36,14796,False,2021-05-14 16:00:00,,2020,Burnley,Liverpool,,,,,,,
5294,36,14803,False,2021-05-14 16:00:00,,2020,Tottenham,Aston Villa,,,,,,,
5295,36,14800,False,2021-05-14 16:00:00,,2020,Manchester United,Fulham,,,,,,,
5296,36,14797,False,2021-05-14 16:00:00,,2020,Chelsea,Leicester,,,,,,,
5302,37,14805,False,2021-05-22 17:00:00,,2020,Arsenal,Brighton,,,,,,,
5304,37,14812,False,2021-05-22 17:00:00,,2020,Sheffield United,Burnley,,,,,,,
5306,37,14806,False,2021-05-22 17:00:00,,2020,Aston Villa,Chelsea,,,,,,,
5307,37,14809,False,2021-05-22 17:00:00,,2020,Leicester,Tottenham,,,,,,,
5308,37,14810,False,2021-05-22 17:00:00,,2020,Liverpool,Crystal Palace,,,,,,,
5309,37,14811,False,2021-05-22 17:00:00,,2020,Manchester City,Everton,,,,,,,
5313,37,14814,False,2021-05-22 17:00:00,,2020,Wolverhampton Wanderers,Manchester United,,,,,,,
5316,37,14808,False,2021-05-22 17:00:00,,2020,Leeds,West Bromwich Albion,,,,,,,
5318,37,14813,False,2021-05-22 17:00:00,,2020,West Ham,Southampton,,,,,,,
5319,37,14807,False,2021-05-22 17:00:00,,2020,Fulham,Newcastle United,,,,,,,
